PrimaryId,Company,Team_Leader_Id,Emp_Id,Employee Name,Designation,DesignationGroup,Department,Zone,Client Id,ClientEmp_Id,Client_Name,Client Type,Client Type Group,Client_Type1,State,City,Source_Id,SourceEmp_Id,SourceName,SourceCode,SourceType,SourceTypeGroup,CustomSourceId,Order_Id,Product_Id,Variant_Id,OrderDate,Order Amount,Remaining Amount,QuotationID,DiscountType,OrderSystemDate,Product Name,ProductDivision,Variant_Name,Unit Price,MRP,ProductGST,Category Type,Total Discount,Order Products Date,Product_Category,Product_Code,Sale Price
1020368,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45763.6581306713,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
563110,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45742.6493364931,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
684468,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45747.6079601505,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
742751,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45754.5812766551,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
797655,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45758.6515428241,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
881154,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45762.4848608796,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
966869,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45762.6319853009,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
1013227,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,North,9241117,56315,Retailer A,Retailer,Secondary,Company,Uttrakhand,Dehradun,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418682,819793,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45763.6581306713,Anjeer Dry Fruit Burfee 500G * 6,BigPacking,Anjeer Dry Fruit Burfee 500G * 6 - FG002679,666.67,700,5,Regular,26.67,45505,ANJEER DRY FRUIT BUR,2106909905,640
587753,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9241117,56315,Retailer A,Retailer,Secondary,Company,Rajasthan,Jodhpur,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418714,819825,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45742.6493364931,Badam Halwa - 250 Gm * 7.5,BigPacking,Badam Halwa - 250 Gm * 7.5 - FG003990,76.19,80,5,Regular,182.86,45505,BADAM HALWA,2106909905,571.425
684471,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9241117,56315,Retailer A,Retailer,Secondary,Company,Rajasthan,Jodhpur,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307985,418714,819825,8/1/2024,315918.04,315918.04,1722534255815,Fixed,45747.6079601505,Badam Halwa - 250 Gm * 7.5,BigPacking,Badam Halwa - 250 Gm * 7.5 - FG003990,76.19,80,5,Regular,182.86,45505,BADAM HALWA,2106909905,571.425
